Date,Open,High,Low,Close*,Adj Close**,Volume
14-Sep-22,3940.73,3961.94,3912.18,3946.01,3946.01,4293240000.00
13-Sep-22,4037.12,4037.12,3921.28,3932.69,3932.69,4224550000.00
12-Sep-22,4083.67,4119.28,4083.67,4110.41,4110.41,3814200000.00
9-Sep-22,4022.94,4076.81,4022.94,4067.36,4067.36,3901940000.00
8-Sep-22,3959.94,4010.50,3944.81,4006.18,4006.18,3966850000.00
7-Sep-22,3909.43,3987.89,3906.03,3979.87,3979.87,3890320000.00
6-Sep-22,3930.89,3942.55,3886.75,3908.19,3908.19,4127340000.00
2-Sep-22,3994.66,4018.43,3906.21,3924.26,3924.26,4134920000.00
1-Sep-22,3936.73,3970.23,3903.65,3966.85,3966.85,3754570000.00
31-Aug-22,4000.67,4015.37,3954.53,3955.00,3955.00,3797860000.00
30-Aug-22,4041.25,4044.98,3965.21,3986.16,3986.16,3190580000.00
29-Aug-22,4034.58,4062.99,4017.42,4030.61,4030.61,2963020000.00
26-Aug-22,4198.74,4203.04,4057.66,4057.66,4057.66,3175260000.00
25-Aug-22,4153.26,4200.54,4147.59,4199.12,4199.12,2976050000.00
24-Aug-22,4126.55,4156.56,4119.97,4140.77,4140.77,3056910000.00
23-Aug-22,4133.09,4159.77,4124.03,4128.73,4128.73,3117800000.00
22-Aug-22,4195.08,4195.08,4129.86,4137.99,4137.99,3365220000.00
19-Aug-22,4266.31,4266.31,4218.70,4228.48,4228.48,3210680000.00
18-Aug-22,4273.13,4292.53,4261.98,4283.74,4283.74,2871990000.00
17-Aug-22,4280.40,4302.18,4253.08,4274.04,4274.04,3293430000.00
16-Aug-22,4290.46,4325.28,4277.77,4305.20,4305.20,3792010000.00
15-Aug-22,4269.37,4301.79,4256.90,4297.14,4297.14,3087740000.00
12-Aug-22,4225.02,4280.47,4219.78,4280.15,4280.15,3252290000.00
11-Aug-22,4227.40,4257.91,4201.41,4207.27,4207.27,3925060000.00
10-Aug-22,4181.02,4211.03,4177.26,4210.24,4210.24,3998590000.00
9-Aug-22,4133.11,4137.30,4112.09,4122.47,4122.47,3337150000.00
8-Aug-22,4155.93,4186.62,4128.97,4140.06,4140.06,3604650000.00
5-Aug-22,4115.87,4151.58,4107.31,4145.19,4145.19,3540260000.00
4-Aug-22,4154.85,4161.29,4135.42,4151.94,4151.94,3565810000.00
3-Aug-22,4107.96,4167.66,4107.96,4155.17,4155.17,3544410000.00
2-Aug-22,4104.21,4140.47,4079.81,4091.19,4091.19,3880790000.00
1-Aug-22,4112.38,4144.95,4096.02,4118.63,4118.63,3540960000.00
29-Jul-22,4087.33,4140.15,4079.22,4130.29,4130.29,3817740000.00
28-Jul-22,4026.13,4078.95,3992.97,4072.43,4072.43,3882850000.00
27-Jul-22,3951.43,4039.56,3951.43,4023.61,4023.61,3584170000.00
26-Jul-22,3953.22,3953.22,3910.74,3921.05,3921.05,3083420000.00
25-Jul-22,3965.72,3975.30,3943.46,3966.84,3966.84,2988650000.00
22-Jul-22,3998.43,4012.44,3938.86,3961.63,3961.63,3246220000.00
21-Jul-22,3955.47,3999.29,3927.64,3998.95,3998.95,3586030000.00
20-Jul-22,3935.32,3974.13,3922.03,3959.90,3959.90,3452150000.00
19-Jul-22,3860.73,3939.81,3860.73,3936.69,3936.69,3160350000.00
18-Jul-22,3883.79,3902.44,3818.63,3830.85,3830.85,3414470000.00
15-Jul-22,3818.00,3863.62,3817.18,3863.16,3863.16,3537130000.00
14-Jul-22,3763.99,3796.41,3721.56,3790.38,3790.38,3447500000.00
13-Jul-22,3779.67,3829.44,3759.07,3801.78,3801.78,3166580000.00
12-Jul-22,3851.95,3873.41,3802.36,3818.80,3818.80,3138460000.00
11-Jul-22,3880.94,3880.94,3847.22,3854.43,3854.43,3023830000.00
8-Jul-22,3888.26,3918.50,3869.34,3899.38,3899.38,2844620000.00
7-Jul-22,3858.85,3910.63,3858.85,3902.62,3902.62,3337710000.00
6-Jul-22,3831.98,3870.91,3809.37,3845.08,3845.08,3613120000.00
5-Jul-22,3792.61,3832.19,3742.06,3831.39,3831.39,4427900000.00
1-Jul-22,3781.00,3829.82,3752.10,3825.33,3825.33,3268240000.00
30-Jun-22,3785.99,3818.99,3738.67,3785.38,3785.38,4032260000.00
29-Jun-22,3825.09,3836.50,3799.02,3818.83,3818.83,3458850000.00
28-Jun-22,3913.00,3945.86,3820.14,3821.55,3821.55,3590980000.00
27-Jun-22,3920.76,3927.72,3889.66,3900.11,3900.11,3385120000.00
24-Jun-22,3821.75,3913.65,3821.75,3911.74,3911.74,6742870000.00
23-Jun-22,3774.71,3802.58,3743.52,3795.73,3795.73,4078100000.00
22-Jun-22,3733.89,3801.79,3717.69,3759.89,3759.89,4342270000.00
21-Jun-22,3715.31,3779.65,3715.31,3764.79,3764.79,4124600000.00
17-Jun-22,3665.90,3707.71,3636.87,3674.84,3674.84,6954110000.00
16-Jun-22,3728.18,3728.18,3639.77,3666.77,3666.77,4511200000.00
15-Jun-22,3764.05,3837.56,3722.30,3789.99,3789.99,4474610000.00
14-Jun-22,3763.52,3778.18,3705.68,3735.48,3735.48,4126400000.00
13-Jun-22,3838.15,3838.15,3734.30,3749.63,3749.63,4572820000.00
10-Jun-22,3974.39,3974.39,3900.16,3900.86,3900.86,3936120000.00
9-Jun-22,4101.65,4119.10,4017.17,4017.82,4017.82,3192330000.00
8-Jun-22,4147.12,4160.14,4107.20,4115.77,4115.77,3090180000.00
7-Jun-22,4096.47,4164.86,4080.19,4160.68,4160.68,3476470000.00
6-Jun-22,4134.72,4168.78,4109.18,4121.43,4121.43,3852050000.00
3-Jun-22,4137.57,4142.67,4098.67,4108.54,4108.54,3107080000.00
2-Jun-22,4095.41,4177.51,4074.37,4176.82,4176.82,3604930000.00
1-Jun-22,4149.78,4166.54,4073.85,4101.23,4101.23,4145710000.00
31-May-22,4151.09,4168.34,4104.88,4132.15,4132.15,5192220000.00
27-May-22,4077.43,4158.49,4077.43,4158.24,4158.24,3560560000.00
26-May-22,3984.60,4075.14,3984.60,4057.84,4057.84,3961940000.00
25-May-22,3929.59,3999.33,3925.03,3978.73,3978.73,4322190000.00
24-May-22,3942.94,3955.68,3875.13,3941.48,3941.48,3901640000.00
23-May-22,3919.42,3981.88,3909.04,3973.75,3973.75,3392770000.00
20-May-22,3927.76,3943.42,3810.32,3901.36,3901.36,4278520000.00
19-May-22,3899.00,3945.96,3876.58,3900.79,3900.79,4212140000.00
18-May-22,4051.98,4051.98,3911.91,3923.68,3923.68,4428960000.00
17-May-22,4052.00,4090.72,4033.93,4088.85,4088.85,3846580000.00
16-May-22,4013.02,4046.46,3983.99,4008.01,4008.01,3824320000.00
13-May-22,3963.90,4038.88,3963.90,4023.89,4023.89,4142950000.00
12-May-22,3903.95,3964.80,3858.87,3930.08,3930.08,4964130000.00
11-May-22,3990.08,4049.09,3928.82,3935.18,3935.18,4683220000.00
10-May-22,4035.18,4068.82,3958.17,4001.05,4001.05,4630150000.00
